date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 17:34:59,,,,154.0,15952.0,25374.0,268.35,44.97,6.49,143.0,18726.0,18344.0,259.23,3.23,25.08,5.69,146.0,18206.0,282.55,70.23,6.85,755360,672,0.25,0.23,642.0,107.0,50.35,16.91,1620.0,1341.0,6065.56,8902.07,3801.0,4092.0,18863.07,29161.62,1562.0,1570.0,5171.39,11155.57
10/04 17:35:01,,,,170.0,23676.0,23042.0,274.81,87.65,5.88,144.0,19208.0,17142.0,252.43,3.82,27.31,6.33,164.0,24750.0,278.59,69.54,6.1,755436,772,0.3,0.33,644.0,122.0,48.83,18.83,1488.0,1795.0,4267.28,13331.47,4931.0,4591.0,28111.78,32193.69,1362.0,1916.0,2991.83,14473.99
10/04 17:35:03,0,1,0,60.0,8540.0,10952.0,324.87,154.15,6.58,81.0,12876.0,11496.0,300.89,1.61,23.85,5.63,115.0,16416.0,279.2,129.24,5.92,755516,880,0.25,0.18,639.0,125.0,50.12,19.28,793.0,176.0,1679.46,1364.72,2284.0,2398.0,10195.32,18724.32,715.0,70.0,1158.24,429.76
10/04 17:35:05,0,0,0,35.0,3374.0,6826.0,291.43,23.17,6.54,73.0,7038.0,12130.0,262.58,2.11,28.59,6.25,46.0,6280.0,250.22,20.54,7.5,755592,956,0.25,0.18,621.0,111.0,46.48,16.34,877.0,801.0,885.48,5810.83,1979.0,1258.0,9721.26,7916.43,1049.0,1089.0,2215.4,8226.98
10/04 17:35:07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,574.0,466.0,208.0,0.08,16.8,11.4,5.0,1138.0,227.6,12.6,9.6,755672,1052,0.2,0.08,639.0,122.0,51.24,18.98,672.0,107.0,401.48,192.02,648.0,96.0,405.34,296.81,693.0,115.0,589.81,191.29
10/04 17:35:09,0,0,0,169.0,23878.0,25686.0,293.28,56.32,5.92,176.0,26106.0,24162.0,285.61,10.55,56.28,5.68,126.0,21640.0,326.94,24.56,6.63,755752,1132,0.28,0.28,639.0,119.0,47.78,18.18,1777.0,1580.0,6926.68,10821.63,4201.0,4856.0,22230.89,35115.93,1880.0,1604.0,8011.25,10843.23
10/04 17:35:11,,,,168.0,19910.0,30646.0,300.93,67.94,5.95,162.0,18890.0,30202.0,303.04,12.74,61.46,6.17,168.0,26096.0,290.49,61.86,5.95,755800,1180,0.25,0.28,625.0,120.0,48.77,18.23,1996.0,1926.0,8316.75,13571.4,5029.0,4493.0,30499.3,31335.01,1642.0,2192.0,5206.01,16437.92
10/04 17:35:13,,,,186.0,30746.0,29148.0,322.01,64.81,5.37,170.0,21200.0,23450.0,262.65,10.69,59.99,5.88,148.0,27032.0,304.62,39.59,6.2,755876,1264,0.35,0.23,638.0,119.0,48.48,18.41,1799.0,2105.0,6175.85,15303.41,5314.0,5061.0,31346.71,35645.8,1848.0,2124.0,6311.25,15774.62
10/04 17:35:15,0,1,0,34.0,3612.0,6578.0,299.71,76.62,8.97,132.0,19242.0,19878.0,296.36,8.98,93.01,5.84,43.0,6580.0,300.88,14.23,6.09,755984,1372,0.25,0.2,635.0,123.0,49.07,18.65,749.0,102.0,1436.9,823.95,2007.0,1939.0,8937.2,14744.11,687.0,48.0,986.88,283.34
10/04 17:35:17,0,0,0,46.0,6448.0,9560.0,348.0,27.3,6.07,49.0,4490.0,9276.0,280.94,1.42,28.92,6.41,26.0,4574.0,270.92,14.85,7.27,756064,1452,0.23,0.15,620.0,118.0,47.31,17.87,1098.0,626.0,3220.14,4029.28,1548.0,1013.0,6556.51,6779.33,677.0,100.0,884.74,278.97
10/04 17:35:19,0,0,0,114.0,20990.0,17988.0,341.91,35.32,6.79,125.0,22916.0,15796.0,309.7,3.65,26.3,5.99,173.0,29294.0,295.13,59.24,5.42,756116,1504,0.33,0.28,611.0,120.0,46.98,18.45,1650.0,2498.0,4862.43,19300.23,4750.0,4431.0,28247.83,33155.14,1576.0,1896.0,4979.38,14185.97
10/04 17:35:21,0,0,0,131.0,15572.0,26022.0,317.51,34.02,6.34,158.0,19380.0,30728.0,317.14,12.01,69.76,6.34,159.0,30522.0,297.9,62.82,5.86,756236,1432,0.28,0.28,668.0,285.0,53.47,1391.07,1692.0,1931.0,6063.32,14034.47,4581.0,3743.0,27085.16,25659.91,2365.0,1769.0,12161.53,11595.29
10/04 17:35:23,0,0,0,173.0,28818.0,33070.0,357.73,81.64,5.78,179.0,22880.0,30502.0,298.22,14.76,54.71,5.58,146.0,21630.0,287.04,32.07,5.88,756336,1556,0.28,0.25,647.0,177.0,50.18,534.19,2283.0,2149.0,10534.39,14711.03,5069.0,4976.0,28708.29,36124.64,1967.0,2045.0,7774.62,14876.82
10/04 17:35:25,,,,171.0,25304.0,25718.0,298.37,72.28,5.85,120.0,18920.0,17874.0,306.62,1.99,16.04,5.83,152.0,21842.0,272.29,29.14,6.29,756436,340,0.3,0.25,632.0,115.0,49.35,17.3,1589.0,1530.0,5427.65,10916.26,4426.0,4207.0,25207.63,32444.56,1455.0,1904.0,3578.26,14517.47
10/04 17:35:27,0,1,0,87.0,18674.0,9850.0,327.86,103.75,5.82,86.0,13640.0,12432.0,303.16,6.58,102.85,6.51,50.0,3856.0,236.88,20.9,7.68,756512,464,0.23,0.15,633.0,119.0,49.95,18.14,752.0,34.0,1538.89,296.32,2112.0,2600.0,8877.37,20334.35,656.0,8.0,680.44,54.64
10/04 17:35:29,0,0,0,39.0,3022.0,8686.0,300.21,40.51,6.49,22.0,3270.0,3590.0,311.82,0.42,19.32,5.91,34.0,5030.0,281.41,16.38,7.82,756588,548,0.28,0.2,630.0,120.0,49.26,18.25,880.0,911.0,993.92,7014.37,1561.0,917.0,7156.89,5484.26,705.0,98.0,848.94,53.76
10/04 17:35:31,0,0,0,161.0,21212.0,24212.0,282.14,36.43,5.94,166.0,22490.0,27038.0,298.36,5.49,32.58,5.38,128.0,22230.0,327.23,22.08,6.22,756668,600,0.28,0.28,636.0,112.0,50.07,17.25,1642.0,1700.0,5676.78,12278.3,4567.0,4559.0,25572.91,32007.55,1872.0,1946.0,7244.2,14214.49
10/04 17:35:33,0,0,0,182.0,22640.0,38356.0,335.14,65.48,5.49,181.0,26438.0,31026.0,317.48,9.07,54.44,5.35,153.0,20682.0,306.01,54.27,6.1,756760,696,0.33,0.3,718.0,411.0,60.52,2360.99,2483.0,2011.0,12139.32,12608.69,4357.0,5162.0,23093.6,38232.8,2342.0,1738.0,11178.76,11113.37
