date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 18:39:26,,,,173.0,25802.0,22436.0,278.83,56.9,5.64,191.0,28014.0,21360.0,258.5,12.75,77.1,5.24,158.0,23716.0,293.66,31.82,6.05,826004,1276,0.23,0.4,637.0,110.0,49.28,17.38,1559.0,1805.0,4911.3,12995.1,4695.0,5333.0,24141.36,38447.97,1592.0,1544.0,5403.37,10732.13
10/04 18:39:28,,,,157.0,16880.0,27772.0,284.41,37.11,5.43,147.0,24032.0,18676.0,290.53,6.13,34.99,5.63,113.0,15498.0,296.46,24.19,6.42,826080,1352,0.23,0.35,642.0,111.0,50.87,17.67,1688.0,1894.0,5199.51,13849.73,4596.0,4316.0,24768.08,29512.69,1337.0,1458.0,3185.74,10504.66
10/04 18:39:30,,,,155.0,20644.0,25730.0,299.19,39.9,5.84,163.0,25444.0,25236.0,310.92,6.4,59.38,5.8,165.0,25346.0,296.92,44.72,5.41,826156,132,0.25,0.4,641.0,109.0,50.32,17.79,1810.0,1503.0,7348.19,9887.37,4402.0,4890.0,23143.93,35214.83,1655.0,1818.0,5038.96,13218.18
10/04 18:39:32,,,,90.0,11582.0,11918.0,261.11,102.93,11.1,165.0,27130.0,21224.0,293.05,8.28,53.81,5.58,119.0,19864.0,314.37,37.35,6.55,826220,412,0.23,0.4,646.0,109.0,50.24,17.77,1764.0,1533.0,7167.27,10663.98,3865.0,4036.0,20091.74,28381.04,1733.0,1314.0,6839.43,8819.2
10/04 18:39:34,,,,155.0,20984.0,22070.0,277.77,97.45,6.45,131.0,19414.0,11452.0,235.62,12.3,93.47,7.63,121.0,16476.0,237.21,42.17,6.83,826404,492,0.35,0.35,651.0,109.0,50.85,17.99,1396.0,1207.0,3957.8,8079.43,3540.0,3628.0,15936.59,25734.28,1659.0,1151.0,6342.2,6980.2
10/04 18:39:36,,,,131.0,24176.0,16514.0,310.61,28.42,6.21,182.0,29064.0,19836.0,268.68,17.16,91.29,5.49,145.0,19446.0,276.25,81.51,6.9,826300,444,0.33,0.43,654.0,104.0,51.57,17.22,1455.0,1438.0,4006.84,10169.32,4290.0,4966.0,21823.99,36739.73,1404.0,1596.0,3650.86,11733.38
10/04 18:39:38,,,,172.0,23622.0,28130.0,300.88,49.24,5.81,198.0,33622.0,22324.0,282.56,12.12,57.61,5.05,176.0,25162.0,296.68,90.28,5.68,826228,516,0.33,0.38,646.0,113.0,50.09,18.3,1630.0,2189.0,3940.31,16576.13,5425.0,5805.0,27611.77,41918.76,1533.0,1604.0,4384.88,11187.41
10/04 18:39:40,,,,144.0,19350.0,30160.0,343.82,86.64,6.12,182.0,31964.0,19674.0,283.73,12.9,82.24,5.49,175.0,23096.0,249.28,40.25,5.71,826540,640,0.28,0.4,650.0,105.0,50.81,17.03,1660.0,1785.0,5281.63,12758.36,5025.0,5190.0,27119.85,36292.11,1822.0,1934.0,6390.47,13674.95
10/04 18:39:42,,,,190.0,28186.0,32614.0,320.0,62.11,5.26,197.0,33244.0,26334.0,302.43,10.87,51.45,5.08,175.0,27668.0,279.66,51.67,5.71,826616,668,0.25,0.28,642.0,108.0,49.52,17.22,1894.0,2347.0,6099.24,17687.28,5702.0,5942.0,32712.32,42050.9,1855.0,2116.0,5870.23,15305.35
10/04 18:39:44,,,,182.0,29936.0,23898.0,295.79,37.79,5.45,183.0,30978.0,24348.0,302.33,9.2,84.63,5.46,169.0,20448.0,302.8,97.29,5.92,826696,748,0.28,0.4,641.0,112.0,49.84,18.21,1587.0,1691.0,4768.15,12122.78,5553.0,6311.0,29882.05,46304.46,1363.0,2123.0,2100.17,16428.83
10/04 18:39:46,,,,186.0,26100.0,29082.0,296.68,46.49,5.2,184.0,27594.0,20946.0,263.8,11.98,56.27,5.44,102.0,15018.0,294.37,19.39,6.64,826776,800,0.28,0.35,649.0,108.0,50.78,17.43,1629.0,1608.0,5150.32,11464.25,4455.0,4631.0,23327.12,34181.54,1657.0,1621.0,5756.07,11293.24
10/04 18:39:48,,,,162.0,25440.0,23506.0,302.14,25.91,5.37,175.0,28352.0,22172.0,288.71,13.22,77.01,5.71,167.0,25650.0,295.89,42.4,5.49,826852,876,0.28,0.4,646.0,103.0,50.19,16.55,1797.0,1796.0,6220.52,12970.89,4848.0,5495.0,25851.95,39682.73,1627.0,1847.0,4993.47,13334.03
10/04 18:39:50,,,,155.0,19730.0,19542.0,253.37,28.49,5.83,160.0,22788.0,20306.0,269.34,11.05,59.83,6.25,184.0,25180.0,268.43,48.69,5.43,826924,968,0.28,0.35,623.0,113.0,48.95,18.27,1536.0,1631.0,4639.34,11614.25,4552.0,4851.0,23793.16,33715.08,1443.0,1642.0,3666.72,12024.08
10/04 18:39:52,,,,179.0,25246.0,22492.0,266.69,36.61,5.22,162.0,25790.0,24380.0,309.69,13.57,123.59,6.18,139.0,14098.0,250.32,30.84,6.27,827004,1000,0.28,0.33,656.0,105.0,51.17,17.03,1515.0,1602.0,4226.05,11565.88,4592.0,4902.0,23721.8,36251.09,1300.0,1591.0,2490.38,11823.29
10/04 18:39:54,,,,156.0,21072.0,23586.0,286.27,34.39,5.63,189.0,29808.0,20686.0,267.16,12.26,58.01,5.29,119.0,18424.0,299.98,21.86,6.33,827080,1076,0.25,0.38,652.0,113.0,50.37,17.77,1893.0,1675.0,7298.93,11204.24,4483.0,4913.0,21904.49,34456.44,1733.0,1652.0,5962.62,11158.73
10/04 18:39:56,,,,141.0,17134.0,23610.0,288.96,37.63,5.62,178.0,23010.0,27496.0,283.74,12.4,81.52,5.62,140.0,19536.0,304.04,24.66,5.98,827156,1116,0.25,0.38,640.0,109.0,49.66,17.52,1657.0,1569.0,5956.1,10969.31,4631.0,4632.0,24674.96,31665.89,1518.0,1780.0,3875.64,13161.61
10/04 18:39:58,,,,140.0,14656.0,21276.0,256.66,26.19,6.0,175.0,26186.0,20928.0,269.22,12.62,59.55,5.71,167.0,15482.0,271.74,38.61,5.46,827232,1196,0.28,0.35,637.0,111.0,48.54,18.12,1377.0,1408.0,3552.04,9947.1,4613.0,4936.0,23892.54,35993.38,1515.0,1773.0,4439.51,12939.26
10/04 18:40:00,,,,121.0,11328.0,26002.0,308.51,24.68,6.55,160.0,27922.0,16854.0,279.85,12.94,138.84,6.25,120.0,15508.0,296.5,23.74,6.59,827308,1280,0.23,0.33,655.0,116.0,50.34,18.72,1348.0,1248.0,3522.14,8676.2,3822.0,4089.0,18767.45,29952.79,1665.0,1460.0,6135.48,9925.49
10/04 18:40:02,,,,145.0,20472.0,22294.0,294.94,21.57,5.72,156.0,26104.0,18334.0,284.86,12.34,86.43,6.41,167.0,21664.0,259.32,59.68,5.99,827400,1408,0.3,0.43,655.0,116.0,49.4,18.72,1616.0,1798.0,4821.27,13020.77,4735.0,4804.0,25428.33,33945.05,1550.0,1822.0,4778.02,13095.95
