date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 19:20:04,,,,120.0,18612.0,14662.0,277.28,27.3,6.5,178.0,26404.0,22608.0,275.35,12.05,82.08,5.62,152.0,15922.0,228.97,26.09,5.57,845160,1148,0.35,0.3,652.0,103.0,50.16,17.13,1452.0,1289.0,4564.29,8808.1,3812.0,4392.0,18368.58,32268.25,1324.0,1362.0,3355.51,9584.66
10/04 19:20:05,,,,139.6,17675.25,17067.33,248.87,29.78,5.81,174.26,34025.74,17449.5,295.4,13.82,47.77,5.73,180.2,21374.26,247.7,46.36,5.54,845188,1180,0.15,0.37,657.43,113.86,52.13,18.22,1392.08,1456.44,3680.4,10163.18,4282.18,5003.96,21173.74,37842.58,1614.85,1587.13,5518.72,11186.6
10/04 19:20:06,,,,130.0,15520.0,20180.0,274.62,34.13,5.78,166.0,22540.0,18654.0,248.16,14.34,97.41,6.02,185.0,21392.0,266.94,71.09,5.41,845236,1172,0.4,0.28,650.0,107.0,48.2,17.62,1415.0,1777.0,3234.74,13428.4,4472.0,4494.0,24331.91,33117.44,1337.0,1486.0,2935.85,10877.53
10/04 19:20:07,,,,152.48,25750.5,22433.66,316.01,42.38,5.28,166.34,31899.01,24320.79,337.99,12.26,87.46,5.43,189.11,35809.9,322.37,63.28,5.28,845268,1220,0.15,0.4,696.04,107.92,53.15,17.1,1594.06,1996.04,4424.56,15299.07,5462.38,5699.01,31452.4,42057.78,1608.91,2081.19,4110.29,16052.08
10/04 19:20:08,,,,80.0,8916.0,14472.0,292.35,14.9,6.54,167.0,31598.0,21864.0,320.13,14.65,82.16,5.99,168.0,21996.0,279.13,63.63,5.95,845312,1264,0.35,0.28,657.0,108.0,51.31,17.45,1354.0,1577.0,3201.74,11729.33,4150.0,4318.0,22484.93,32522.73,1314.0,1402.0,3237.36,10338.61
10/04 19:20:09,,,,128.0,16372.0,16128.0,253.91,24.14,6.41,186.0,37182.0,17434.0,293.63,12.03,88.06,5.42,161.0,22858.0,257.38,67.6,6.09,845348,1300,0.15,0.32,653.0,104.0,51.69,17.17,1438.0,1558.0,4177.44,11225.29,4227.0,5068.0,21700.93,36944.75,1379.0,1483.0,3664.86,10639.08
10/04 19:20:10,,,,135.0,19928.0,11750.0,234.65,20.69,5.38,197.0,34180.0,25416.0,302.52,12.04,52.03,5.08,164.0,21834.0,240.91,50.87,6.06,845388,1340,0.4,0.25,635.0,108.0,46.59,17.02,1319.0,1492.0,3267.73,10667.96,4517.0,4996.0,23861.79,36257.8,1373.0,1759.0,3328.3,13104.76
10/04 19:20:11,,,,136.63,14227.72,22782.18,270.87,29.36,6.21,183.17,30902.97,21847.52,287.99,12.74,71.8,5.45,179.21,24154.46,268.73,52.49,5.54,845424,1344,0.17,0.35,636.63,104.95,49.6,17.38,1742.57,1534.65,7152.71,10557.97,4302.97,4648.51,22891.12,34647.59,1510.89,1627.72,4635.4,11791.51
10/04 19:20:12,,,,174.0,27100.0,21994.0,282.15,38.25,5.55,175.0,29076.0,22222.0,293.13,13.03,60.49,5.71,200.0,28220.0,275.28,50.99,5.0,845464,1392,0.38,0.28,654.0,115.0,50.49,18.51,1592.0,1736.0,4911.29,12351.52,5110.0,5807.0,26862.18,42196.55,1813.0,2018.0,6519.01,14885.57
10/04 19:20:13,,,,169.31,22449.5,24403.96,276.74,29.96,5.33,179.21,32100.99,17493.07,276.74,12.18,55.22,5.56,165.35,19889.11,278.73,51.81,6.03,845500,1428,0.1,0.32,647.52,100.99,51.42,16.42,1330.69,1707.92,2673.25,12808.93,4882.18,5552.48,25113.55,40522.63,1350.5,1603.96,3330.57,11799.68
