date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 17:14:57,,,,128.71,12857.43,27198.02,311.2,52.21,6.85,192.08,25502.97,30251.49,290.27,10.09,50.19,5.2,137.62,25829.7,309.91,27.19,5.96,707360,1240,0.47,0.25,642.57,113.86,50.53,18.2,2232.67,1786.14,10645.93,11872.85,3792.08,3906.93,20113.08,27873.6,2275.25,1324.75,11789.69,7721.49
10/04 17:14:58,,,,120.0,6944.0,25514.0,270.48,26.77,6.67,162.0,13412.0,29938.0,267.59,6.56,46.39,5.65,144.0,27306.0,283.31,48.15,5.74,707392,1276,0.13,0.33,632.0,104.0,49.34,16.26,2069.0,1861.0,9281.02,12864.92,3983.0,2779.0,23349.81,17148.2,1950.0,1572.0,8649.64,10612.47
10/04 17:14:59,,,,131.68,9148.51,27572.28,278.86,39.9,6.06,141.58,16655.45,26594.06,305.47,6.34,40.5,6.43,185.15,29295.05,284.63,40.78,5.24,707432,1320,0.37,0.27,635.64,102.97,50.59,17.25,2209.9,1790.1,10462.74,11887.59,4435.64,3697.03,26177.82,24844.17,1981.19,2020.79,7921.47,14499.44
10/04 17:15:00,,,,173.0,21558.0,28622.0,290.06,48.82,5.78,163.0,17830.0,28094.0,281.74,7.35,45.83,5.93,132.0,19964.0,278.44,24.48,6.17,707468,1188,0.15,0.35,641.0,114.0,51.67,18.07,2265.0,1744.0,10802.48,11563.95,3930.0,4006.0,21272.12,28433.09,1871.0,1427.0,7699.66,9233.31
10/04 17:15:01,,,,147.0,13710.0,32680.0,315.58,71.92,6.35,171.0,23188.0,30350.0,313.09,7.34,47.35,5.52,118.0,17736.0,295.36,22.96,5.96,707512,1232,0.37,0.25,630.0,101.0,47.81,16.07,1823.0,1321.0,8141.63,8519.89,3663.0,3747.0,19964.75,27326.72,1874.0,1691.0,8096.49,11873.65
10/04 17:15:02,,,,176.0,27380.0,24838.0,296.69,46.47,5.61,178.0,26454.0,27578.0,303.55,7.96,37.16,5.47,144.0,24974.0,289.56,28.33,6.21,707548,1344,0.18,0.38,643.0,108.0,50.78,17.93,2019.0,2009.0,8249.77,14376.86,4639.0,4899.0,25078.84,35656.18,1888.0,1579.0,7977.91,10557.52
10/04 17:15:03,,,,126.73,11150.5,23982.18,277.22,30.13,6.4,106.93,6906.93,18568.32,238.24,2.35,34.22,6.65,152.48,24497.03,272.22,47.25,6.18,707592,1388,0.37,0.22,633.66,109.9,50.04,17.27,1989.11,1533.66,8556.68,9853.96,3471.29,2701.98,19419.17,17735.9,1740.59,1476.24,6499.11,9583.9
10/04 17:15:04,,,,101.0,8462.0,21350.0,295.17,24.5,6.81,140.0,16072.0,21884.0,271.11,3.47,23.96,6.18,128.0,27482.0,318.97,24.16,6.12,707624,768,0.1,0.25,640.0,104.0,51.23,17.19,2060.0,1438.0,9742.56,9392.46,3572.0,2836.0,20464.85,19147.16,1766.0,1489.0,6933.72,10238.63
10/04 17:15:05,,,,147.52,17198.02,26374.26,295.36,36.37,5.93,166.34,22299.01,26469.31,293.19,7.13,37.49,5.42,159.41,25392.08,297.61,44.04,5.19,707672,392,0.42,0.25,644.55,103.96,49.55,17.07,1827.72,1776.24,7008.4,12660.66,4134.65,4279.21,22645.82,31080.52,1812.87,1549.5,7277.95,10704.08
10/04 17:15:06,,,,106.0,10556.0,23106.0,317.57,16.12,6.54,84.0,9598.0,16862.0,315.0,2.09,31.25,7.71,147.0,27350.0,294.98,33.84,6.07,707700,420,0.13,0.35,631.0,113.0,49.84,17.52,1991.0,1463.0,9489.43,9480.79,3548.0,2722.0,20904.42,18280.21,1731.0,1432.0,7182.04,9779.8
10/04 17:15:07,,,,140.59,11697.03,33372.28,320.56,37.44,6.06,200.99,21235.64,36532.67,287.42,10.1,52.17,4.97,128.71,21958.42,291.92,31.38,6.09,707744,468,0.45,0.3,627.72,117.82,48.65,17.98,1956.44,1573.27,8756.99,10526.55,3952.48,3504.95,22976.24,24529.12,2336.63,1961.39,11652.69,13533.97
10/04 17:15:08,,,,117.0,13630.0,21740.0,302.31,20.55,6.0,136.0,19928.0,17656.0,276.35,2.96,22.09,6.09,133.0,21884.0,274.59,29.44,6.11,707776,508,0.13,0.33,643.0,118.0,51.47,18.57,1757.0,1396.0,7347.95,9555.49,3274.0,3338.0,16142.28,24346.91,1744.0,1121.0,7404.4,7036.88
10/04 17:15:09,,,,74.0,8680.0,14338.0,311.05,21.42,6.43,139.0,16450.0,27228.0,314.23,4.03,27.76,6.19,117.0,25540.0,319.42,22.14,6.41,707824,524,0.37,0.2,658.0,113.0,48.65,17.32,1951.0,1292.0,9140.87,7805.98,3228.0,2606.0,17687.78,18413.12,1958.0,1355.0,9043.15,8979.1
