Latency_172.18.158.42_log,Latency_172.16.158.32_log,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
5.086673,4.522314,184,27676,28192,303.63,51.34,5.47,122,19920,13712,275.67,3.77,38.75,6.75,138,18660,23026,302.07,27.63,6.39,804824,808,0.15,0.32,647,120,48.51,18.98,1500,1562,4529.2,11111.45,4306,4666,22953.6,33463.61,1443,1658,3920.32,12288.44
5.086673,4.522314,173.27,24314.85,32918.81,330.32,43.79,5.57,179.21,34417.82,23027.72,320.55,9.54,59.36,5.36,133.66,17233.66,18926.73,270.53,33.04,6.01,804900,884,0.12,0.37,646.53,122.77,48.13,19.29,1564.36,1863.37,4734.81,13872.82,4671.29,5229.7,25267.18,38355.55,1688.12,1594.06,6284.12,11315.75
5.086673,4.522314,106.93,16760.4,13689.11,284.76,55.16,4.93,101.98,18487.13,9388.12,273.34,6.56,50.37,5.17,89.11,11710.89,11681.19,262.51,50.9,5.91,804976,996,0.15,0.32,636.63,118.81,48.16,19.01,1366.34,1131.68,4230.18,7719.73,3215.84,3276.24,16227.19,23733.07,1403.96,1215.84,4465.57,8445.69
5.224727,4.591499,174.26,24958.42,32752.48,331.18,79.93,5.72,176.24,28269.31,23700.99,294.89,11.27,52.66,5.66,163.37,23669.31,25154.46,298.86,41.64,5.79,805052,1024,0.12,0.35,647.52,115.84,50.19,18.37,1592.08,1910.89,4965.21,14160.17,4996.04,5341.58,27975.97,38595.35,1522.77,1974.26,4223.78,14908.57
5.224727,4.591499,118,9468,14024,199.08,26.33,6.14,91,10398,11138,236.66,1.4,16.09,6.13,93,11878,13448,272.32,23.12,6.48,805128,1104,0.15,0.27,646,112,48.24,18.23,1222,951,3350.26,6128.42,2695,2421,12576.31,16054.58,1205,977,3136.27,6381.61
5.463067,4.341256,188.12,24435.64,36297.03,322.84,71.19,5.3,149.5,19699.01,23407.92,288.33,3.64,27.47,5.5,150.5,19144.55,27609.9,310.67,37.51,5.87,805208,1156,0.15,0.32,660.4,116.83,51.52,19.41,1886.14,1959.41,7213.3,14096.6,4732.67,4374.26,27958.12,31701.55,1843.56,1909.9,6997.36,13836.49
5.463067,4.341256,156.44,23382.18,24106.93,303.57,36.92,6.32,182.18,28457.43,23633.66,285.93,8.23,36.38,5.11,181.19,23457.43,27164.36,279.39,37.8,5.3,805288,1236,0.15,0.37,657.43,114.85,49.59,18.31,1727.72,1977.23,5593.52,14579.67,5113.86,5249.5,28756.43,37772.52,1708.91,1985.15,5401.61,14610.9
5.463067,4.341256,144.55,20126.73,17940.59,263.34,22.68,5.62,178.22,33639.6,23891.09,322.81,12.1,69.03,5.6,158.42,24851.49,21683.17,293.75,51.55,6.11,805364,1320,0.12,0.35,632.67,115.84,48.63,18.37,1658.42,1778.22,5631.59,12976.25,4558.42,5401.98,23334.33,39721.91,1619.8,1482.18,6112.32,10235.38
5.337329,4.453089,189,26970,33554,320.23,50.85,5.33,173,20832,24056,259.47,11.21,94.97,5.83,170,21298,30046,302.02,37.66,5.84,805440,1224,0.17,0.35,642,122,50.44,19.58,1930,2224,7174.01,16278.2,5134,4855,29764.81,34406.06,1717,1849,5935.64,13327.15
5.337329,4.453089,161.39,17128.71,27164.36,274.45,80.27,6.18,174.26,27702.97,22926.73,290.55,11.8,106.88,5.73,133.66,14405.94,21029.7,265.11,28.76,6.16,805868,1352,0.22,0.42,619.8,117.82,49.15,18,1512.87,1791.09,4522.53,12940.34,4458.42,4037.62,25033.76,30420.76,1563.37,1723.76,4956.06,12407.76
5.008285,4.450265,153.47,17102.97,26194.06,282.13,53.05,6.15,173.27,34386.14,13360.4,275.57,13.43,65.07,5.76,121.78,15603.96,19853.47,291.15,44.05,7.49,805588,336,0.25,0.35,632.67,127.72,48.58,19.59,1316.83,1320.79,3469.98,9375.6,3976.24,4562.38,20912.22,33829.84,1816.83,1659.41,7452.87,11519.13
5.008285,4.450265,160.4,18988.12,25180.2,275.37,45.57,5.8,186.14,30885.15,20893.07,278.17,11.91,71.28,5.36,175.25,24998.02,23526.73,276.89,71.93,5.69,805668,412,0.2,0.4,636.63,112.87,49.38,17.93,1705.94,1807.92,5972.17,13021.48,4625.74,5129.7,25143.53,37341.56,1535.64,1719.8,4687.7,12366.33
5.008285,4.450265,158,23764,24462,305.23,31.95,5.53,183,28322,24516,288.73,11.21,51.38,5.51,181,19924,35622,306.88,67.56,5.57,805748,508,0.22,0.42,640,111,49.38,17.71,1725,2191,6012.98,16470.84,5533,4964,32573.61,36131.95,1536,2141,4047.78,16156.52
4.839233,4.435319,151.49,15661.39,26516.83,278.43,86.33,6.37,164.36,26590.1,21732.67,294.01,8.13,67.62,6.07,175.25,30225.74,22469.31,300.69,72.11,5.69,805828,540,0.15,0.35,682.18,123.76,54.62,19.08,1592.08,1611.88,5021.34,11332.24,4652.48,5117.82,24568.21,36859.25,1876.24,1883.17,6738.15,13513.94
4.839233,4.435319,122.77,16992.08,18215.84,286.77,23.81,5.92,116.83,16099.01,13445.54,252.88,2.17,18.5,6.45,179.21,22089.11,29992.08,290.62,90.66,5.56,805904,620,0.15,0.37,644.55,122.77,50.23,19.02,1652.48,1688.12,5775.55,11961.28,4300,3928.71,23994.91,27878.53,1469.31,1535.64,4472.32,10964.32
4.55262,4.392591,205.94,24017.82,35104.95,287.09,54.66,4.85,177.23,27154.46,21489.11,274.47,7.66,36.44,5.61,188.12,26079.21,23033.66,261.07,83.61,5.31,805976,664,0.12,0.35,642.57,123.76,51.22,19.13,1681.19,2004.95,5072.48,14293.75,5157.43,5350.5,28327.05,39022.95,1905.94,2012.87,7134.14,14077.43
4.55262,4.392591,148.51,21562.38,22712.87,298.12,38.49,6.21,185.15,27419.8,20764.36,260.25,12.77,65.05,5.39,159.41,25005.94,20867.33,287.78,71.13,6.25,806052,740,0.15,0.35,641.58,107.92,50.44,17.37,1331.68,1643.56,3173.36,12050.98,4361.39,5018.81,22609.02,37357.05,1574.26,1413.86,5661.45,9934.2
4.55262,4.392591,172,18894,25404,257.55,53.26,5.8,213,32170,29210,288.17,12.05,58.51,4.73,156,21390,23990,290.9,50.04,6.16,806132,824,0.15,0.35,658,121,52.41,18.79,1637,1703,5438.06,12240.01,4696,5115,25081.55,36607.21,1896,1853,7720.25,12975.07
4.745489,4.418583,149.5,18053.47,21871.29,267.05,41.29,5.79,162.38,26776.24,25005.94,318.9,13.03,58.74,6.15,174.26,29849.5,23306.93,305.05,40.48,5.56,806208,844,0.15,0.32,646.53,127.72,50.99,19.61,1551.49,1653.47,4972.37,11940.73,4533.66,5192.08,23417.51,37744.77,1600.99,1554.46,5701.73,10953.9
4.745489,4.418583,139.6,16881.19,23904.95,292.16,29.91,5.62,167.33,28089.11,18780.2,280.11,13.37,63.08,5.96,150.5,17043.56,26178.22,287.2,53.99,6.16,806288,944,0.1,0.4,644.55,111.88,51.75,17.62,1593.07,1857.43,5031.57,13711.55,4772.28,4389.11,27154.86,31832.95,1545.54,1770.3,4566.03,13023.88
4.909765,4.753552,154,22222,23134,294.52,37.49,5.64,181,22844,24662,262.46,11.32,47.9,5.57,185,28488,28304,306.98,41.26,5.45,806364,984,0.15,0.35,651,116,50.87,18.97,1778,1889,6684.26,13782.29,4621,5164,24425.06,37149.36,1581,1465,5520.54,10059.05
4.909765,4.753552,184.16,28607.92,22516.83,277.61,47.7,5.41,182.18,31689.11,17380.2,269.35,12.45,35.55,5.48,171.29,27560.4,21679.21,287.47,33.82,5.56,806436,1064,0.12,0.4,652.48,120.79,51.99,18.92,1219.8,1630.69,2287.53,12204.36,4531.68,5873.27,22421.81,44096.79,1543.56,1400,5505.7,9763.01
4.909765,4.753552,165.35,25564.36,28445.54,326.65,78.91,6.03,168.32,30615.84,18186.14,289.94,13.15,35.25,5.93,169.31,21998.02,30097.03,307.7,37.2,5.73,806516,1152,0.17,0.37,650.5,123.76,51.17,19.33,1530.69,1917.82,4532.78,14010.81,5021.78,5496.04,28603.47,39482.61,1649.5,1980.2,5593.11,14688.77
5.036058,4.567673,189.11,28833.66,26413.86,292.15,45.26,5.25,189.11,30588.12,24021.78,288.77,9.02,42.7,5.28,159.41,23570.3,20366.34,275.63,39.11,5.6,806592,1180,0.12,0.42,645.54,124.75,50.5,19.42,1537.62,2130.69,4086.39,16123.22,5377.23,5850.5,30458.16,42169.73,1552.48,1891.09,4512.27,13919.16
5.036058,4.567673,200.99,28154.46,25900.99,268.95,60.47,4.97,171.29,31045.54,22966.34,315.33,9.77,52.69,5.83,177.23,28136.63,24483.17,296.91,43.94,5.34,806668,1256,0.17,0.35,649.5,121.78,49.6,19.23,1332.67,2077.23,2336.62,15748.12,5300.99,6085.15,27894.56,44164.82,1752.48,1690.1,6787.87,11877.5
5.234748,4.469616,186,21160,34842,301.09,42.9,5.41,175,32546,17724,287.26,12.54,54.82,5.75,155,20514,27894,312.31,50.24,5.85,806748,1184,0.12,0.35,655,128,52.4,19.97,1748,1685,6201.28,11818.1,4816,5219,26806.76,37485.54,1903,2013,7551.6,14584.52
5.234748,4.469616,134.65,12958.42,17568.32,226.71,22.01,6.24,164.36,29253.47,16962.38,281.19,12.09,94.96,6.07,136.63,17803.96,20271.29,278.67,38.74,6.1,806824,1260,0.17,0.32,648.51,125.74,50.35,19.48,1171.29,1637.62,1767.25,12308.52,4281.19,4182.18,22499.55,30586.75,1288.12,1358.42,2906.63,9832.6
5.234748,4.469616,154.46,27534.65,20031.68,307.96,48.1,6.45,188.12,37699.01,15984.16,285.37,13.33,50.76,5.3,158.42,24465.35,23299.01,301.51,28.62,5.61,806900,724,0.17,0.35,639.6,122.77,48.61,19.04,1351.49,1417.82,3660.06,10256.23,4444.55,5834.65,22465.73,45011.38,1407.92,1642.57,4030.83,12085.73
4.858471,4.461363,152.48,21348.51,19700.99,269.22,35.19,6.27,175.25,33021.78,13724.75,266.75,11.24,99.34,5.69,181.19,20966.34,30279.21,282.83,42.28,5.51,806976,348,0.17,0.35,650.5,125.74,50.05,19.46,1602.97,1568.32,5524.55,10993.78,4416.83,5066.34,22696.78,38059.82,1815.84,1720.79,6933.07,12309.39
4.858471,4.461363,139.6,20433.66,21722.77,301.97,31.82,6.42,177.23,28065.35,20251.49,272.63,11.38,64.56,5.63,174.26,23839.6,23734.65,273.01,31.11,5.37,807052,440,0.15,0.37,639.6,125.74,49.07,19.26,1430.69,1587.13,3979.58,11609.72,4486.14,5051.49,23222.66,36568.98,1727.72,1706.93,6543.29,12140.56
4.370365,4.392715,165,25112,15524,246.28,51.72,5.98,181,30262,22916,293.8,12.35,65.36,5.57,186,29034,21628,272.38,36.12,5.35,807128,484,0.15,0.32,649,125,50.34,19.53,1318,1748,2887.18,12920.43,5100,5923,25924.37,42649.4,1333,1767,3067.04,13261.64
4.370365,4.392715,139.6,19679.21,22655.45,303.25,53.5,6.7,187.13,29722.77,18801.98,259.31,12.91,48.24,5.33,175.25,23687.13,24217.82,273.36,53.29,5.58,807204,568,0.12,0.35,641.58,123.76,48.87,19.33,1486.14,1874.26,3948.02,13901.65,4810.89,5082.18,26207.62,37174.58,1553.47,1741.58,4784.93,12718.29
4.370365,4.392715,134.65,19720.79,24637.62,329.43,36.11,6.38,177.23,30847.52,18883.17,280.6,10.87,67.8,5.64,135.64,18479.21,20564.36,287.84,37.23,6.01,807288,660,0.12,0.35,645.54,119.8,48.1,18.63,1584.16,1401.98,5826.92,9631.34,4206.93,4711.88,22509.87,35132.53,1556.44,1713.86,4940.68,12583.98
4.406591,4.374051,134.65,19744.55,21023.76,302.76,30.16,6.02,173.27,25635.64,20401.98,265.7,11.93,67.87,5.76,122.77,18263.37,16758.42,285.26,29.23,6.44,807364,688,0.12,0.35,644.55,128.71,49.02,19.9,1379.21,1577.23,3740.19,11595.1,4203.96,4563.37,22120.63,32430.01,1433.66,1420.79,4424.99,10081.94
4.406591,4.374051,145.54,16841.58,25198.02,288.84,37.51,5.96,157.43,20138.61,21021.78,261.46,13.22,88.92,6.33,142.57,17671.29,20889.11,270.46,34.07,5.93,807440,768,0.22,0.3,646.53,126.73,49.8,19.77,1628.71,1694.06,4865.21,11208.69,4154.46,3768.32,22852.98,27603.16,1661.39,1760.4,4928.89,11769.2
4.480208,4.425224,150.5,21695.05,26532.67,320.46,31.59,5.76,200,29853.47,31368.32,306.11,12.44,44.79,4.99,178.22,29568.32,25295.05,307.84,52,5.48,807516,804,0.17,0.35,652.48,126.73,49.5,19.6,1561.39,1989.11,4227.66,15020.05,5271.29,5589.11,30241.17,40956.43,1594.06,2064.36,4797.75,15600.63
4.480208,4.425224,78,16358,10368,342.64,14.33,6.87,138,25730,14268,289.84,3.52,46.36,5.78,97,14138,11910,268.54,17.6,6.08,807588,884,0.15,0.27,653,121,49.46,18.79,1025,930,1664.46,6571.07,2953,3831,13145.64,28644.09,1037,1020,1868.31,7406.03
4.480208,4.425224,196.04,28657.43,21528.71,256,39.27,5.09,190.1,33611.88,22156.44,293.36,8.61,39.17,4.97,155.45,26221.78,20495.05,300.54,22.99,5.86,807676,1000,0.17,0.35,663.37,121.78,50.54,19.2,1628.71,2025.74,4879.58,15047.4,4981.19,6048.51,25905.63,44442.49,1637.62,1488.12,5704.52,10427.48
5.384452,4.348791,179.21,28732.67,23015.84,288.76,47.07,5.54,153.47,23211.88,20663.37,285.9,3.84,32.02,5.67,151.49,23572.28,26249.5,328.89,82.45,6.59,807752,1020,0.15,0.4,651.49,120.79,48.99,18.92,1585.15,1741.58,5147.49,12647.56,4660.4,5189.11,25463.17,38196.21,1471.29,1747.52,3878.83,13041.1
