date,contVaeMngr_AbortAllVaeMigrations:03582,raidMigrate_TrcErrCb:00200,contCmd_StartMigration:05425,contVaeMngr_AbortAllVaeMigrations:03547,contCmd_AbortMigration:05459,contCmd_EndMigration:05488,contCmd_EndMigration:05521,contCmd_AbortMigration:05478,contCmd_StartMigration:05449,raidComb_StartMigrate:02486,raidComb_EndMigrateInter:02725,
25/03 13:50:15,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:50:23,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:50:35,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:50:44,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:51:02,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:51:22,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:51:26,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:51:37,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:51:38,0,0,2,0,0,2,2,0,2,2,2,
25/03 13:52:21,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:52:33,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:52:56,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:53:13,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:53:37,0,0,2,0,0,2,2,0,2,2,2,
25/03 13:53:40,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:54:10,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:54:27,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:54:38,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:54:55,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:55:38,0,0,0,0,0,1,1,0,0,0,1,
25/03 13:55:39,0,0,1,0,0,0,0,0,1,1,0,
25/03 13:55:52,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:55:57,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:56:21,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:56:45,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:57:10,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:57:19,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:57:23,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:57:50,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:58:04,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:58:13,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:58:30,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:58:35,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:59:03,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:59:20,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:59:33,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:59:52,0,0,1,0,0,1,1,0,1,1,1,
25/03 13:59:54,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:00:03,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:00:35,0,0,0,0,0,1,1,0,0,0,1,
25/03 14:00:51,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:01:16,0,0,0,0,0,1,1,0,0,0,1,
25/03 14:01:26,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:02:49,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:02:59,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:03:29,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:03:33,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:03:58,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:04:08,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:04:41,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:04:58,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:04:59,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:05:10,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:05:22,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:05:49,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:05:53,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:06:27,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:06:43,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:06:46,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:07:20,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:07:38,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:07:53,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:09:00,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:09:11,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:09:45,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:09:54,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:10:00,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:10:10,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:10:44,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:11:17,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:11:22,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:11:30,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:11:52,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:12:16,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:12:34,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:12:51,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:12:55,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:13:23,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:13:26,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:13:35,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:13:58,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:14:22,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:14:31,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:14:34,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:14:53,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:15:02,0,0,1,0,0,1,1,0,1,1,1,
